ALLIANCE_NAME,PARTY_FULL_NAME,PARTY_ABBR,Total_Constituency
AIADMK Alliance,All India Anna Dravida Munnetra Kazhagam,AIAD,172
AIADMK Alliance,Amma Makkal Munnettra Kazagam,AMMK,11
AIADMK Alliance,Bharatiya Janata Party,BJP,33
AIADMK Alliance,Desiya Murpokku Dravida Kazhagam,DMDK,10
AIADMK Alliance,Pattali Makkal Katchi,PMK,18
Independent,Naam Tamilar Katchi,NTK,234
Independent,Tamilaga Vettri Kazhagam,TVK,233
Secular Progressive Alliance,Communist Party of India,CPOI,5
Secular Progressive Alliance,Communist Party of India (Marxist),CPOI,5
Secular Progressive Alliance,Dravida Munnetra Kazhagam,DMK,176
Secular Progressive Alliance,Indian National Congress,INC,28
Secular Progressive Alliance,Indian Union Muslim League,IUML,2
Secular Progressive Alliance,Tamizhaga Vaazhvurimai Katchi,TVK,164
Secular Progressive Alliance,Viduthalai Chiruthaigal Katchi,VCK,8
Unallied,ALL PENSIONER'S PARTY,AP,1
Unallied,Aanaithinthiya Jananayaka Pathukappu Kazhagam,AJPK,29
Unallied,Ahila India Dhayaga Makkal Munnetra Katchi,AIDM,1
Unallied,Ahimsa Socialist Party,ASP,2
Unallied,Akila Inthiya Makkal Marumalarchi Kazhakam,AIMM,3
Unallied,All India Forward Bloc,AIFB,3
Unallied,All India Jananayaka Makkal Kazhagam,AIJM,7
Unallied,All India Majlis-E-Inquilab-E-Millat,AI,1
Unallied,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,AIPT,78
Unallied,All India Uzhavargal Uzhaippalargal Katchi,AIUU,2
Unallied,All India Youth Development Party,AIYD,4
Unallied,Anaithindia Samudaya Munnetra Kazhagam,ASMK,1
Unallied,Anaithinthiya Anna Dravida Makkal Seyal katchi,AADM,7
Unallied,Anna MGR Dravida Makkal Kalgam,AMDM,3
Unallied,Anna Makkal Katchi,AMK,5
Unallied,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,APTA,13
Unallied,Anti Corruption Dynamic Party,ACDP,14
Unallied,Bahujan Dravida Party,BDP,3
Unallied,Bahujan Samaj Party,BSP,119
Unallied,Bharat Jan Chikitsa Party,BJCP,2
Unallied,Bharatha Makkal Katchi,BMK,1
Unallied,Communist Party of India (Marxist-Leninist) (Liberation),CPOI,13
Unallied,Communist Party of India (Marxist-Leninist) Red Star,CPOI,3
Unallied,Democratic National Allegiance,DNA,3
Unallied,Desa Makkal Munnetrak Kazhagam,DMMK,2
Unallied,Desiya Makkal Sakthi Katchi,DMSK,11
Unallied,Dravida Jananayaga Makkal Katchi,DJMK,1
Unallied,Ezhuchi Tamilargal Munnetra Kazhagam,ETMK,4
Unallied,Ganasangam Party of India,GPOI,13
Unallied,Independent,IND,232
Unallied,Indhia Kudiarasu Katchi,IKK,1
Unallied,Indhu Dravida Makkal Katchi,IDMK,8
Unallied,India Suyarajya Party,ISP,1
Unallied,Indian Christian Front,ICF,1
Unallied,Indian National League,INL,1
Unallied,Jebamani Janata,JJ,2
Unallied,Kamarajar Deseeya Congress,KDC,1
Unallied,MAKKAL SAKTHI KATCHI,MSK,2
Unallied,MGR Makkal Katchi,MMK,1
Unallied,Makkal Arasial Katchi,MAK,3
Unallied,Makkal Munnetra Katchi,MMK,2
Unallied,Makkal Murasu Katchi,MMK,1
Unallied,Makkal Nala Kazhagam,MNK,2
Unallied,Makkal Nalvaazhvuk Katchi,MNK,4
Unallied,Makkal Sananayaga Kudiyarasu Katchi,MSKK,1
Unallied,Makkalatchi Katchi,MK,1
Unallied,Mannin Maithargal Kazhagam,MMK,1
Unallied,Naadaalum Makkal Katchi,NMK,22
Unallied,Naam Indiar Party,NIP,33
Unallied,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,NNNM,4
Unallied,Namadhu Makkal Katchi,NMK,2
Unallied,Namathu Kongu Munnetra Kalagam,NKMK,1
Unallied,National Maha Sabha Party,NMSP,2
Unallied,Nationalist Janshakti Party,NJP,1
Unallied,New Generation People's Party,NGP,2
Unallied,None of the Above,NOTA,234
Unallied,Our Mahathma National Party,OMNP,2
Unallied,Parivartan Rajniti Party,PRP,1
Unallied,Party for the Rights of Other backward Classes,PFTR,13
Unallied,Periyar Ambedkar Munnetra Kazhagam (PAMK),PAMK,1
Unallied,Proutist Sarva Samaj,PSS,1
Unallied,Puthiya Makkal Tamil Desam Katchi,PMTD,12
Unallied,Puthiya Tamilagam,PT,60
Unallied,Rashtriya Janata Dal,RJD,1
Unallied,Rashtriya Samaj Dal (R),RSD,7
Unallied,Republican Party of India,RPOI,1
Unallied,Republican Party of India (A),RPOI,1
Unallied,Republican Party of India (Athawale),RPOI,16
Unallied,Samaniya Makkal Nala Katchi,SMNK,25
Unallied,Samata Party,SP,4
Unallied,Socialist Unity Centre Of India (COMMUNIST),SUCO,4
Unallied,Tamil Manila Murpokku Dravida Kazhagam,TMMD,1
Unallied,Tamil Nadu Ilangyar Katchi,TNIK,2
Unallied,Tamil Telugu National Party,TTNP,4
Unallied,Tamilaga Makkal Nala Katchi,TMNK,8
Unallied,Tamilar Makkal Katchi,TMK,8
Unallied,Tamilnadu Mahatma Gandhi Makkal Katchi,TMGM,1
Unallied,Tamizhaga Murpokku Makkal Katchi,TMMK,7
Unallied,Thakkam Katchi,TK,15
Unallied,Thamizh Desiya Munnetra Kazhagam,TDMK,3
Unallied,Thamizh Perarasu Katchi,TPK,2
Unallied,Thamizhaga Dravidar Katchi,TDK,1
Unallied,Thamizhaga Munnetra Congress,TMC,1
Unallied,Thamizhaka Padaippalar Makkal Katchi,TPMK,16
Unallied,Vada Tamil Nadu Munnetra Katchi,VTNM,2
Unallied,Vanchit Bahujan Aaghadi,VBA,4
Unallied,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,VTVT,26
Unallied,Vidial Valarchi Perani,VVP,1
Unallied,Viduthalai Kalam Katchi,VKK,1
Unallied,Viro Ke Vir Indian Party,VKVI,3
Unallied,Vishwa Tamil Kazhagam,VTK,11
