Constituency,Tot_Constituency_votes_polled,Cons_vote_pct,Tot_parties_competed,District,Reserved,Lok_sabha_constituency,State_Name
Alandur,261570,0.530312745032943,12,Kancheepuram,GENERAL,Sriperumbudur,Tamil Nadu
Alangudi,180483,0.3659151858461623,9,Pudukkottai,GENERAL,Sivaganga,Tamil Nadu
Alangulam,220857,0.44777031742837753,9,Tenkasi,GENERAL,Tirunelveli,Tamil Nadu
Ambasamudram,191195,0.3876329291836738,6,Tirunelveli,GENERAL,Tirunelveli,Tamil Nadu
Ambattur,259986,0.5271013087515186,11,Tiruvallur,GENERAL,Sriperumbudur,Tamil Nadu
Ambur,195584,0.3965312838801206,12,Tirupattur,GENERAL,Vellore,Tamil Nadu
Anaikattu,216318,0.43856784944770494,10,Vellore,GENERAL,Vellore,Tamil Nadu
Andipatti,217329,0.4406175729833868,12,Theni,GENERAL,Theni,Tamil Nadu
Anna Nagar,163339,0.3311570648810486,10,Chennai,GENERAL,Chennai Central,Tamil Nadu
Anthiyur,185775,0.37664430251364833,10,Erode,GENERAL,Tiruppur,Tamil Nadu
Arani,230162,0.46663547815985107,11,Tiruvannamalai,GENERAL,Arani,Tamil Nadu
Aravakurichi,181078,0.3671215018735912,10,Karur,GENERAL,Karur,Tamil Nadu
Arcot,225786,0.4577634799480371,11,Ranipet,GENERAL,Arakkonam,Tamil Nadu
Ariyalur,235858,0.47818367327285194,10,Ariyalur,GENERAL,Chidambaram,Tamil Nadu
Aruppukkottai,178413,0.3617184225238463,11,Virudhunagar,GENERAL,Virudhunagar,Tamil Nadu
Athoor,237183,0.4808700072835132,11,Dindigul,GENERAL,Dindigul,Tamil Nadu
Attur,208296,0.4223038710073093,9,Salem,SC,Kallakurichi,Tamil Nadu
Avadi,346005,0.7014981127236437,12,Tiruvallur,GENERAL,Tiruvallur,Tamil Nadu
Avanashi,231600,0.4695509108446291,9,Tiruppur,SC,Nilgiris,Tamil Nadu
Bargur,213960,0.4337871886196754,11,Krishnagiri,GENERAL,Krishnagiri,Tamil Nadu
Bhavani,208323,0.42235861139847,10,Erode,GENERAL,Tiruppur,Tamil Nadu
Bhuvanagiri,207310,0.42030483301899846,8,Cuddalore,GENERAL,Chidambaram,Tamil Nadu
Bodinayakanur,220628,0.4473060378144595,9,Theni,GENERAL,Theni,Tamil Nadu
Chengalpattu,324010,0.6569049681466678,8,Chengalpattu,GENERAL,Kanchipuram,Tamil Nadu
Chengam,242897,0.4924546959906211,9,Tiruvannamalai,SC,Tiruvannamalai,Tamil Nadu
Chepauk-Thiruvallikeni,140741,0.2853413849014851,8,Chennai,GENERAL,Chennai Central,Tamil Nadu
Cheyyar,222570,0.4512432911342361,13,Tiruvannamalai,GENERAL,Arani,Tamil Nadu
Coimbatore (North),226109,0.45841833722007,12,,,,
Coonoor,141394,0.2866652913988147,6,Nilgiris,GENERAL,Nilgiris,Tamil Nadu
Cuddalore,190378,0.3859765254955906,9,Cuddalore,GENERAL,Cuddalore,Tamil Nadu
Cumbum,210574,0.4269223380837518,8,Theni,GENERAL,Theni,Tamil Nadu
Dharapuram,199944,0.40537084334161705,6,Tiruppur,SC,Erode,Tamil Nadu
Dharmapuri,238579,0.4837002882487079,11,Dharmapuri,GENERAL,Dharamapuri,Tamil Nadu
Dr.Radhakrishnan Nagar,181206,0.3673810118761306,11,,,,
Edappadi,258263,0.5236080608267117,7,Salem,GENERAL,Salem,Tamil Nadu
Egmore,119738,0.24275944284418907,11,Chennai,SC,Chennai Central,Tamil Nadu
Erode (West),221400,0.4488712075172749,11,Erode,GENERAL,Erode,Tamil Nadu
Gangavalli,196679,0.3987513108549689,10,Salem,SC,Kallakurichi,Tamil Nadu
Gingee,216652,0.43924500836058106,12,Viluppuram,GENERAL,Arani,Tamil Nadu
Gobichettipalayam,219727,0.44547933068720985,9,Erode,GENERAL,Tiruppur,Tamil Nadu
Gudalur,151241,0.3066293147972908,7,Nilgiris,SC,Nilgiris,Tamil Nadu
Gudiyattam,229076,0.4644336979820563,9,Vellore,SC,Vellore,Tamil Nadu
Gummidipoondi,232522,0.4714201938316702,9,Tiruvallur,GENERAL,Tiruvallur,Tamil Nadu
Harbour,99622,0.201975824007615,7,Chennai,GENERAL,Chennai Central,Tamil Nadu
Hosur,277770,0.5631569797293291,8,Krishnagiri,GENERAL,Krishnagiri,Tamil Nadu
Jayankondam,228548,0.46336321922158147,13,Ariyalur,GENERAL,Chidambaram,Tamil Nadu
Jolarpet,213042,0.4319260153202135,12,Tirupattur,GENERAL,Tiruvannamalai,Tamil Nadu
Kalasapakkam,214127,0.4341257680761134,9,Tiruvannamalai,GENERAL,Tiruvannamalai,Tamil Nadu
