Constituency,Tot_Constituency_votes_polled,Cons_vote_pct,Tot_parties_competed,District,Reserved,Lok_sabha_constituency,State_Name
Kancheepuram,246317,0.49938847887096927,9,Kancheepuram,GENERAL,Kanchipuram,Tamil Nadu
Kangayam,203534,0.4126492879440878,8,Tiruppur,GENERAL,Erode,Tamil Nadu
Kanniyakumari,239150,0.48485794615066075,10,Kanniyakumari,GENERAL,Kanniyakumari,Tamil Nadu
Karur,216829,0.43960386203596746,10,Karur,GENERAL,Karur,Tamil Nadu
Katpadi,203497,0.4125742733339787,11,Vellore,GENERAL,Arakkonam,Tamil Nadu
Kavundampalayam,363991,0.7379633229242114,11,Coimbatore,GENERAL,Coimbatore,Tamil Nadu
Kilpennathur,219790,0.44560705826658475,10,Tiruvannamalai,GENERAL,Tiruvannamalai,Tamil Nadu
Kilvaithinankuppam,189892,0.38499119845469904,8,,,,
Kinathukadavu,267917,0.543180791799484,6,Coimbatore,GENERAL,Pollachi,Tamil Nadu
Kolathur,184051,0.37314902716694653,13,Chennai,GENERAL,Chennai North,Tamil Nadu
Krishnagiri,230181,0.466673999175853,11,Krishnagiri,GENERAL,Krishnagiri,Tamil Nadu
Krishnarayapuram,189357,0.38390652774096035,11,Karur,SC,Karur,Tamil Nadu
Kulithalai,209091,0.4239156714137061,7,Karur,GENERAL,Perambalur,Tamil Nadu
Kumarapalayam,205324,0.4162783731358489,9,Namakkal,GENERAL,Erode,Tamil Nadu
Kumbakonam,208288,0.42228765163215065,8,Thanjavur,GENERAL,Mayiladuthurai,Tamil Nadu
Kunnam,230570,0.4674626662929452,10,Perambalur,GENERAL,Chidambaram,Tamil Nadu
Kurinjipadi,213965,0.43379732572914964,9,Cuddalore,GENERAL,Cuddalore,Tamil Nadu
Lalgudi,185213,0.375504891408749,12,Tiruchirappalli,GENERAL,Perambalur,Tamil Nadu
Madathukulam,188249,0.38166014428147915,7,Tiruppur,GENERAL,Pollachi,Tamil Nadu
Madavaram,361998,0.7339226710877981,9,Tiruvallur,GENERAL,Tiruvallur,Tamil Nadu
Madurai Central,148586,0.3012465096664942,8,Madurai,GENERAL,Madurai,Tamil Nadu
Madurai East,271566,0.5505788542937502,9,Madurai,GENERAL,Madurai,Tamil Nadu
Madurai North,161801,0.32803889000678677,8,Madurai,GENERAL,Madurai,Tamil Nadu
Madurai South,141503,0.2868862803853521,7,Madurai,GENERAL,Madurai,Tamil Nadu
Madurai West,216403,0.4387401803087662,8,Madurai,GENERAL,Madurai,Tamil Nadu
Madurantakam,198251,0.40193841807365527,9,,,,
Maduravoyal,293692,0.5954375911389499,11,Tiruvallur,GENERAL,Sriperumbudur,Tamil Nadu
Mailam,189221,0.3836307983632623,15,Viluppuram,GENERAL,Arani,Tamil Nadu
Manachanallur,209780,0.42531256509925,11,Tiruchirappalli,GENERAL,Perambalur,Tamil Nadu
Manamadurai,208643,0.4230073864048184,10,Sivaganga,SC,Sivaganga,Tamil Nadu
Manapparai,241216,0.4890465997853974,9,,,,
Mannargudi,194100,0.39352258978818005,11,Thiruvarur,GENERAL,Thanjavur,Tamil Nadu
Mettuppalayam,244319,0.4953376899250817,11,,,,
Mettur,231105,0.4685473370066839,8,Salem,GENERAL,Dharamapuri,Tamil Nadu
Modakkurichi,190759,0.3867489732375241,10,Erode,GENERAL,Erode,Tamil Nadu
Mudhukulathur,231373,0.46909068607450066,12,Ramanathapuram,GENERAL,Ramanathapuram,Tamil Nadu
Musiri,189141,0.3834686046116752,11,Tiruchirappalli,GENERAL,Perambalur,Tamil Nadu
Mylapore,150594,0.30531757283133015,11,Chennai,GENERAL,Chennai South,Tamil Nadu
Nagercoil,196280,0.3979423695189283,12,Kanniyakumari,GENERAL,Kanniyakumari,Tamil Nadu
Namakkal,212283,0.43038720210203096,14,Namakkal,GENERAL,Namakkal,Tamil Nadu
Nannilam,231444,0.4692346330290342,9,Thiruvarur,GENERAL,Nagapattinam,Tamil Nadu
Natham,239140,0.4848376719317124,9,Dindigul,GENERAL,Dindigul,Tamil Nadu
Neyveli,168780,0.34218826741086567,9,Cuddalore,GENERAL,Cuddalore,Tamil Nadu
Nilakkottai,197593,0.40060437446685143,10,,,,
Oddanchatram,201624,0.408776912124946,7,Dindigul,GENERAL,Dindigul,Tamil Nadu
Orathanadu,195304,0.39596360574956574,8,Thanjavur,GENERAL,Thanjavur,Tamil Nadu
Ottapidaram,196117,0.39761189975006955,10,Thoothukudi,SC,Thoothukkudi,Tamil Nadu
Padmanabhapuram,180555,0.36606116022259066,9,Kanniyakumari,GENERAL,Kanniyakumari,Tamil Nadu
Palacode,225257,0.45669097376566753,9,Dharmapuri,GENERAL,Dharamapuri,Tamil Nadu
Palani,208619,0.4229587282793422,9,Dindigul,GENERAL,Dindigul,Tamil Nadu
Palayamkottai,180620,0.36619294264575514,9,Tirunelveli,GENERAL,Tirunelveli,Tamil Nadu
Palladam,301014,0.6102823742529584,9,Tiruppur,GENERAL,Coimbatore,Tamil Nadu
Pallavaram,283677,0.5751329608621408,14,Chengalpattu,GENERAL,Sriperumbudur,Tamil Nadu
Panruti,210767,0.42731363050945564,9,Cuddalore,GENERAL,Cuddalore,Tamil Nadu
Papanasam,207723,0.4211421582615668,9,Thanjavur,GENERAL,Mayiladuthurai,Tamil Nadu
Pappireddipatti,236621,0.47973059617861386,10,,,,
Paramakudi,189753,0.38470938681131644,8,Ramanathapuram,SC,Ramanathapuram,Tamil Nadu
Paramathi-Velur,188845,0.38286848773080295,11,,,,
Pattukkottai,183745,0.37252863606712594,7,Thanjavur,GENERAL,Thanjavur,Tamil Nadu
Pennagaram,228666,0.46360245500517244,10,Dharmapuri,GENERAL,Dharamapuri,Tamil Nadu
Perambalur,253654,0.5142636733134004,8,Perambalur,SC,Perambalur,Tamil Nadu
Perambur,204384,0.4143725965547006,18,Chennai,GENERAL,Chennai North,Tamil Nadu
Peravurani,176274,0.35738176709078645,9,Thanjavur,GENERAL,Thanjavur,Tamil Nadu
Periyakulam,211209,0.42820975098697434,8,Theni,SC,Theni,Tamil Nadu
Perundurai,200686,0.40687519038758735,9,Erode,GENERAL,Tiruppur,Tamil Nadu
Pollachi,181196,0.3673607376571822,7,Coimbatore,GENERAL,Pollachi,Tamil Nadu
Polur,211743,0.42929239427881816,11,Tiruvannamalai,GENERAL,Arani,Tamil Nadu
Poompuhar,219324,0.44466227966358984,8,Mayiladuthurai,GENERAL,Mayiladuthurai,Tamil Nadu
Poonamallee,308894,0.6262584587842869,7,Tiruvallur,SC,Tiruvallur,Tamil Nadu
Pudukkottai,190378,0.3859765254955906,11,Pudukkottai,GENERAL,Tiruchirappalli,Tamil Nadu
Radhapuram,199931,0.40534448685698415,10,Tirunelveli,GENERAL,Tirunelveli,Tamil Nadu
Rajapalayam,183020,0.3710587551933679,9,Virudhunagar,GENERAL,Tenkasi,Tamil Nadu
Ramanathapuram,237576,0.4816667840881848,9,Ramanathapuram,GENERAL,Ramanathapuram,Tamil Nadu
Ranipet,221038,0.4481372807913433,9,Ranipet,GENERAL,Arakkonam,Tamil Nadu
Rasipuram,204680,0.41497271343557285,11,Namakkal,SC,Namakkal,Tamil Nadu
Rishivandiyam,244795,0.49630274274702485,12,Kallakurichi,GENERAL,Kallakurichi,Tamil Nadu
Royapuram,127356,0.25820434283906984,10,Chennai,GENERAL,Chennai North,Tamil Nadu
Saidapet,160401,0.3252004993540127,9,Chennai,GENERAL,Chennai South,Tamil Nadu
Salem (North),210712,0.4272021223052395,8,Salem,GENERAL,Salem,Tamil Nadu
Salem (South),207902,0.42150506678074295,7,Salem,GENERAL,Salem,Tamil Nadu
Salem (West),234407,0.4752418841034411,10,Salem,GENERAL,Salem,Tamil Nadu
Sankarankovil,196480,0.398347853897896,14,Tenkasi,SC,Tenkasi,Tamil Nadu
Sankarapuram,235528,0.4775146240475552,11,Kallakurichi,GENERAL,Kallakurichi,Tamil Nadu
Sankari,243779,0.49424288210186884,9,Salem,GENERAL,Namakkal,Tamil Nadu
Sattur,198734,0.40291766284886227,11,Virudhunagar,GENERAL,Virudhunagar,Tamil Nadu
Senthamangalam,209687,0.42512401486302986,9,Namakkal,ST,Namakkal,Tamil Nadu
Sholavandan,189080,0.38334493187609003,10,Madurai,SC,Theni,Tamil Nadu
Shozhinganallur,447293,0.9068516216080599,11,Kancheepuram,GENERAL,Chennai South,Tamil Nadu
Singanallur,221033,0.44812714368186907,11,Coimbatore,GENERAL,Coimbatore,Tamil Nadu
Sirkazhi,200448,0.4063926639766157,11,Mayiladuthurai,SC,Mayiladuthurai,Tamil Nadu
Srirangam,254985,0.5169621718554307,13,Tiruchirappalli,GENERAL,Tiruchirappalli,Tamil Nadu
Sulur,273544,0.554589094801741,12,Coimbatore,GENERAL,Coimbatore,Tamil Nadu
Tambaram,278809,0.5652634710780664,11,Chengalpattu,GENERAL,Sriperumbudur,Tamil Nadu
Thanjavur,198798,0.403047417850132,8,Thanjavur,GENERAL,Thanjavur,Tamil Nadu
Thiru-Vi-Ka-Nagar,143903,0.29175209293296483,9,Chennai,SC,Chennai North,Tamil Nadu
Thirumangalam,230980,0.46829390926982906,9,,,,
Thirumayam,182612,0.3702315670602737,10,Pudukkottai,GENERAL,Sivaganga,Tamil Nadu
Thiruvaiyaru,222111,0.4503127044845052,9,Thanjavur,GENERAL,Thanjavur,Tamil Nadu
Thiruvallur,226428,0.45906508480452357,10,Tiruvallur,GENERAL,Tiruvallur,Tamil Nadu
Thiruvarur,217875,0.44172454533796873,8,Thiruvarur,GENERAL,Nagapattinam,Tamil Nadu
Thiruverumbur,213583,0.4330228505653212,11,Tiruchirappalli,GENERAL,Tiruchirappalli,Tamil Nadu
Thiruvidaimarudur,208944,0.42361764039516475,9,Thanjavur,SC,Mayiladuthurai,Tamil Nadu
Thiruvottiyur,207088,0.4198547453583443,10,Tiruvallur,GENERAL,Chennai North,Tamil Nadu
Thiyagarayanagar,133928,0.2715285595319494,7,Chennai,GENERAL,Chennai South,Tamil Nadu
Thondamuthur,258549,0.5241879034886355,7,Coimbatore,GENERAL,Pollachi,Tamil Nadu
Thoothukkudi,204712,0.4150375909362076,12,Thoothukudi,GENERAL,Thoothukkudi,Tamil Nadu
Thousand Lights,131824,0.26726286386520887,7,Chennai,GENERAL,Chennai Central,Tamil Nadu
Thuraiyur,184426,0.373909310377511,9,Tiruchirappalli,SC,Perambalur,Tamil Nadu
Tindivanam,196026,0.39742740435763924,10,Viluppuram,GENERAL,Viluppuram,Tamil Nadu
Tiruchendur,186050,0.37720184353472896,10,Thoothukudi,GENERAL,Thoothukkudi,Tamil Nadu
Tiruchengodu,191122,0.38748492738535056,11,Namakkal,GENERAL,Namakkal,Tamil Nadu
Tiruchirappalli (East),182493,0.3699903038547879,15,Tiruchirappalli,GENERAL,Tiruchirappalli,Tamil Nadu
Tiruchirappalli (West),196347,0.39807820678588246,9,Tiruchirappalli,GENERAL,Tiruchirappalli,Tamil Nadu
Tiruchuli,181250,0.3674702184395035,11,Virudhunagar,GENERAL,Ramanathapuram,Tamil Nadu
Tirukkoyilur,217318,0.44059527134254356,9,Kallakurichi,GENERAL,Viluppuram,Tamil Nadu
Tirunelveli,218425,0.44283962738012994,13,Tirunelveli,GENERAL,Tirunelveli,Tamil Nadu
Tirupattur,202925,0.411414588010131,12,Tirupattur,GENERAL,Tiruvannamalai,Tamil Nadu
Tiruppattur,215316,0.4365363727090766,7,,,,
Tiruppur (South),179814,0.36455884059851523,12,,,,
Tiruttani,238798,0.48414429364367756,9,Tiruvallur,GENERAL,Arakkonam,Tamil Nadu
Tiruvannamalai,220066,0.44616662670956014,13,Tiruvannamalai,GENERAL,Tiruvannamalai,Tamil Nadu
Tittakudi,175754,0.35632750770547034,11,Cuddalore,SC,Cuddalore,Tamil Nadu
Ulundurpettai,271002,0.5494353883450611,8,Kallakurichi,GENERAL,Viluppuram,Tamil Nadu
Usilampatti,224048,0.4542398206948076,8,Madurai,GENERAL,Theni,Tamil Nadu
Uthiramerur,227765,0.4617757478779228,8,Kancheepuram,GENERAL,Kanchipuram,Tamil Nadu
Vandavasi,191204,0.3876511759807273,10,Tiruvannamalai,SC,Arani,Tamil Nadu
Vasudevanallur,189795,0.3847945385308997,11,Tenkasi,SC,Tenkasi,Tamil Nadu
Vedaranyam,162216,0.3288802700931448,7,Nagapattinam,GENERAL,Nagapattinam,Tamil Nadu
Vedasandur,226554,0.45932053996327327,9,Dindigul,GENERAL,Karur,Tamil Nadu
Veerapandi,235875,0.4782181394450642,9,Salem,GENERAL,Salem,Tamil Nadu
Vellore,190527,0.3862786113579215,12,Vellore,GENERAL,Vellore,Tamil Nadu
Veppanahalli,222608,0.45132033316624004,9,Krishnagiri,GENERAL,Krishnagiri,Tamil Nadu
Vikravandi,209231,0.4241995104789835,13,Viluppuram,GENERAL,Viluppuram,Tamil Nadu
Vilathikulam,174814,0.354421731124322,9,Thoothukudi,GENERAL,Thoothukkudi,Tamil Nadu
Villivakkam,141452,0.2867828818687153,8,Chennai,GENERAL,Chennai Central,Tamil Nadu
Villupuram,215422,0.43675127942992953,9,Viluppuram,GENERAL,Viluppuram,Tamil Nadu
Viralimalai,203921,0.41343390021739035,9,Pudukkottai,GENERAL,Karur,Tamil Nadu
Virudhunagar,167832,0.3402662714545586,9,Virudhunagar,GENERAL,Virudhunagar,Tamil Nadu
Virugampakkam,172831,0.350401353506857,11,,,,
Yercaud,253592,0.5141379731559204,9,Salem,ST,Kallakurichi,Tamil Nadu
Arakkonam,182340,0.36968010830487763,9,Ranipet,SC,Arakkonam,Tamil Nadu
Aranthangi,182730,0.3704708028438647,7,Pudukkottai,GENERAL,Ramanathapuram,Tamil Nadu
Bhavanisagar,214595,0.43507460152289795,8,Erode,SC,Nilgiris,Tamil Nadu
Cheyyur,187584,0.38031190872141146,8,Chengalpattu,SC,Kanchipuram,Tamil Nadu
Chidambaram,196586,0.39856276061874885,8,Cuddalore,GENERAL,Chidambaram,Tamil Nadu
Dindigul,212024,0.4298620998312678,10,Dindigul,GENERAL,Dindigul,Tamil Nadu
Erode (East),162453,0.32936076908222156,12,Erode,GENERAL,Erode,Tamil Nadu
Gandarvakkottai,167618,0.33983240316906316,7,,,,
Harur,220042,0.446117968584084,12,Dharmapuri,SC,Dharamapuri,Tamil Nadu
Kadayanallur,221951,0.44998831698133096,12,Tenkasi,GENERAL,Tenkasi,Tamil Nadu
Kallakurichi,249626,0.5060972179209904,6,Kallakurichi,SC,Kallakurichi,Tamil Nadu
Kattumannarkoil,187905,0.3809627111496547,11,Cuddalore,SC,Chidambaram,Tamil Nadu
Killiyoor,177534,0.35993631867828313,9,Kanniyakumari,GENERAL,Kanniyakumari,Tamil Nadu
Kovilpatti,194232,0.3937902094782987,11,Thoothukudi,GENERAL,Thoothukkudi,Tamil Nadu
Melur,190726,0.38668206831499446,9,Madurai,GENERAL,Madurai,Tamil Nadu
Nagapattinam,151326,0.30680164565835205,9,Nagapattinam,GENERAL,Nagapattinam,Tamil Nadu
Nanguneri,209419,0.42458066579521314,13,Tirunelveli,GENERAL,Tirunelveli,Tamil Nadu
Omalur,271119,0.5496725967067573,8,Salem,GENERAL,Salem,Tamil Nadu
Ponneri,226819,0.4598578067654055,11,Tiruvallur,SC,Tiruvallur,Tamil Nadu
Sivaganga,214067,0.4340041227624231,11,Sivaganga,GENERAL,Sivaganga,Tamil Nadu
Sivakasi,193517,0.3923406028234891,10,Virudhunagar,GENERAL,Virudhunagar,Tamil Nadu
Sriperumbudur,331088,0.6712550603183357,10,Kancheepuram,SC,Sriperumbudur,Tamil Nadu
Srivaikuntam,176421,0.3576797981093277,13,Thoothukudi,GENERAL,Thoothukkudi,Tamil Nadu
Srivilliputhur,193471,0.39224734141632656,9,Virudhunagar,SC,Tenkasi,Tamil Nadu
Tenkasi,234987,0.47641778880244745,12,Tenkasi,GENERAL,Tenkasi,Tamil Nadu
Thiruparankundram,255466,0.517937361786848,12,Madurai,GENERAL,Virudhunagar,Tamil Nadu
Thiruthuraipoondi,191030,0.3872984045710254,8,Thiruvarur,SC,Nagapattinam,Tamil Nadu
Tiruppur (North),263457,0.5341384901485036,9,,,,
Tiruvadanai,220278,0.4465964401512659,11,Ramanathapuram,GENERAL,Ramanathapuram,Tamil Nadu
Udumalaipettai,203575,0.41273241224177615,6,Tiruppur,GENERAL,Pollachi,Tamil Nadu
Uthangarai,205530,0.4166960220461857,10,Krishnagiri,SC,Krishnagiri,Tamil Nadu
Valparai,150431,0.30498710306247145,6,Coimbatore,SC,Pollachi,Tamil Nadu
Vaniyambadi,212534,0.43089608499763554,10,Tirupattur,GENERAL,Vellore,Tamil Nadu
Vanur,192119,0.3895062670145047,9,Viluppuram,SC,Viluppuram,Tamil Nadu
Velachery,184815,0.37469797749460326,12,Chennai,GENERAL,Chennai South,Tamil Nadu
Mayiladuthurai,188461,0.38208995772318494,11,Mayiladuthurai,GENERAL,Mayiladuthurai,Tamil Nadu
Vriddhachalam,209186,0.42410827649371574,12,,,,
Coimbatore (South),156499,0.3172894991203523,9,,,,
Colachal,199013,0.40348331355752226,12,Kanniyakumari,GENERAL,Kanniyakumari,Tamil Nadu
Karaikudi,229267,0.46482093556397047,11,Sivaganga,GENERAL,Sivaganga,Tamil Nadu
Kilvelur,151637,0.3074321738676469,8,Nagapattinam,SC,Nagapattinam,Tamil Nadu
Sholinghur,233684,0.47377605807347273,10,,,,
Thalli,205878,0.4174015648655895,8,Krishnagiri,GENERAL,Krishnagiri,Tamil Nadu
Thiruporur,262409,0.5320137520027127,9,,,,
Udhagamandalam,148704,0.3014857454500851,7,Nilgiris,GENERAL,Nilgiris,Tamil Nadu
Vilavancode,174927,0.3546508297984388,10,Kanniyakumari,GENERAL,Kanniyakumari,Tamil Nadu
